Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,RegistrationDate
0,113.0,yes,1,2.44,2.0,192.5,82,71.21,8.28,9.1,2024-06-25
No,86.0,yes,0,0.0,1.0,75.5,96,28.47,9.12,12.3,2024-12-30
0,138.0,yes,0,0.0,1.0,176.6,81,54.23,11.63,9.1,2024-01-01
YES,23.0,NO,0,0.0,4.0,142.2,61,40.02,8.95,6.2,2026-03-14
No,94.0,YES,1,1.1,0.0,219.8,82,63.83,8.31,4.4,2024-11-02
No,175.0,yes ,0,0.0,2.0,154.7,118,40.26,8.67,11.9,2023-04-15
No,97.0,Yes,0,0.0,2.0,120.1,93,40.16,11.31,8.7,2024-10-17
No,54.0,yes ,0,0.0,3.0,207.4,88,49.26,8.42,16.0,2025-08-12
no,110.0,YES,0,0.0,2.0,163.9,92,46.07,10.27,15.2,2024-07-19
no,58.0,yes,0,0.0,3.0,211.7,97,53.42,9.46,8.5,2025-07-16
No,153.0,YES,0,0.0,3.0,192.5,94,54.82,12.34,7.3,2023-09-18
No ,127.0,yes,0,0.0,1.0,197.4,83,57.03,13.51,10.8,2024-03-22
0,123.0,yes,0,0.0,0.0,264.1,118,60.87,9.02,10.4,2024-04-16
No,123.0,yess,0,0.0,3.0,134.5,103,38.36,8.81,7.3,2024-04-19
0,180.0,YES,1,2.07,3.0,105.6,115,60.03,11.89,7.7,2023-03-11
No,19.0,yes,0,0.0,1.0,120.1,131,42.55,12.38,5.3,2026-04-13
false,190.0,yes,0,0.0,2.0,148.7,103,48.26,11.1,12.6,2022-12-31
NO,,Yes,0,0.0,1.0,161.4,105,49.41,12.13,10.9,2025-03-20
0,48.0,yes,0,0.0,3.0,154.6,110,43.33,8.61,10.6,2025-09-20
true,8.0,YES,0,0.0,1.0,271.8,106,70.23,11.39,10.1,2026-07-02
No ,13.0,yes,1,3.15,3.0,116.1,120,70.96,11.85,11.7,2026-05-23
false,51.0,no,0,,1.0,152.6,77,46.98,10.59,7.9,2025-09-01
True,129.0,yess,0,0.0,4.0,165.7,62,44.59,9.03,6.7,2024-03-08
False,140.0,yes,0,0.0,1.0,204.2,77,0.0,10.26,9.0,2023-12-17
false,1.0,yes,0,0.0,1.0,164.2,103,45.87,9.89,11.9,2026-08-21
No,49.0,yes,0,0.0,3.0,134.1,90,40.89,9.82,0.1,2025-09-18
True,22.0,yes,0,0.0,3.0,187.5,80,47.87,9.22,10.6,2026-03-25
No,137.0,yes,1,2.13,2.0,168.4,62,68.95,11.77,7.7,2024-01-10
No ,22.0,Yes,0,0.0,0.0,207.3,108,45.28,6.2,5.7,2026-03-21
NO,144.0,yes,0,0.0,1.0,226.9,89,,8.16,11.8,2023-11-21
si,125.0,n0,0,0.0,2.0,122.3,110,39.76,10.95,10.8,2024-03-30
0,175.0,yes,0,0.0,4.0,227.8,105,58.24,10.61,10.3,2023-04-19
NO,133.0,yes,0,,2.0,203.3,82,47.89,7.58,9.7,2024-02-08
false,69.0,YES,1,2.45,1.0,173.8,92,74.1,11.7,8.9,2025-05-02
NO,27.0,Yes,1,3.55,2.0,114.3,151,76.48,12.15,13.2,2026-02-15
False,91.0,yes,1,,0.0,69.3,122,45.51,5.07,9.1,2024-11-23
No,96.0,Yes,1,2.06,3.0,115.9,65,63.08,12.99,7.7,2024-10-22
No ,119.0,yes ,0,0.0,1.0,202.8,77,53.06,10.34,9.0,2024-05-14
No,114.0,yes ,0,0.0,1.0,183.5,113,47.43,9.95,18.1,2024-06-18
false,87.0,yes,0,0.0,1.0,161.2,93,48.98,12.06,6.6,2024-12-27
No,121.0,Yes,0,0.0,3.0,197.0,125,46.05,6.62,7.3,2024-04-29
No,120.0,yess,0,0.0,2.0,95.0,96,32.92,9.66,9.7,2024-05-05
No,89.0,yes,0,0.0,2.0,188.7,64,,7.07,10.0,2024-12-11
No ,118.0,yes ,1,2.93,0.0,224.0,135,90.81,13.09,10.7,2024-05-24
True,78.0,no,0,0.0,4.0,188.2,115,48.91,10.05,13.7,2025-02-27
true,143.0,no,1,3.93,1.0,270.8,111,104.38,10.76,14.2,2023-11-28
No,148.0,yess,0,0.0,0.0,171.6,85,50.6,12.64,6.0,2023-10-21
No,93.0,yes,1,2.56,2.0,170.6,135,70.61,8.74,9.6,2024-11-13
yes,196.0,yes,0,0.0,4.0,168.3,72,47.18,10.7,10.4,2022-11-19
No,79.0,Yes,0,0.0,1.0,144.7,104,37.67,4.83,10.8,2025-02-18
NO,98.0,yess,1,3.91,1.0,129.9,108,81.87,11.68,14.5,2024-10-07
no,118.0,yes ,0,0.0,0.0,196.2,87,50.21,7.87,6.8,2024-05-24
No ,46.0,YES,1,2.4,1.0,159.3,104,78.97,16.22,9.0,2025-10-06
0,60.0,yes,0,0.0,1.0,204.8,69,54.85,11.18,9.5,2025-07-01
false,131.0,yes,0,0.0,1.0,188.3,98,57.21,12.39,9.4,2024-02-19
NO,13.0,yess,0,0.0,0.0,204.1,89,50.92,9.24,8.4,2026-05-25
Si,197.0,no,0,0.0,1.0,89.4,94,44.25,17.12,8.0,2022-11-13
False,152.0,yes,1,3.72,1.0,161.7,123,81.99,9.96,13.8,2023-09-25
False,21.0,yes ,0,0.0,1.0,166.5,119,44.74,10.02,9.7,2026-04-03
yes,206.0,yes ,0,0.0,2.0,314.0,102,72.01,10.82,12.9,2022-09-16
False,193.0,yes,0,0.0,1.0,146.1,54,39.68,8.57,5.7,2022-12-11
No,15.0,Yes,1,2.59,2.0,211.9,73,85.39,12.89,9.5,2026-05-11
false,65.0,YES,1,2.4,0.0,189.9,100,78.78,13.09,8.9,2025-05-29
No,60.0,yes ,0,0.0,1.0,202.2,77,53.71,10.44,9.1,2025-07-01
YES,61.0,yes ,0,0.0,,110.2,87,41.3,12.98,13.3,2025-06-25
No,42.0,yes,1,2.38,1.0,242.2,95,78.77,7.94,9.0,2025-11-07
No ,178.0,yes ,0,0.0,1.0,92.4,104,34.0,10.38,5.5,2023-03-25
No,152.0,yess,1,1.77,1.0,26.2,119,39.85,10.3,6.5,2023-09-29
YES,207.0,Yes,0,0.0,5.0,131.5,127,35.25,8.02,5.7,2022-09-03
False,159.0,YES,0,0.0,2.0,186.6,88,54.23,12.83,12.3,2023-08-06
no,188.0,yes,0,0.0,2.0,202.6,101,50.15,9.73,13.3,2023-01-20
false,95.0,YES,0,0.0,0.0,122.3,69,45.76,13.61,3.5,2024-11-01
no,98.0,Yes,0,0.0,0.0,139.4,113,43.82,12.14,8.6,2024-10-05
No,169.0,yess,0,0.0,0.0,190.3,99,43.52,5.8,7.5,2023-06-02
No,155.0,Yes,0,0.0,1.0,69.8,74,30.43,10.43,9.9,2023-09-02
No,14.0,yes,0,0.0,3.0,218.0,86,53.28,9.13,6.3,2026-05-22
SI,99.0,no,0,0.0,2.0,286.9,61,64.42,9.4,11.0,2024-09-29
No,193.0,YES,0,0.0,3.0,188.9,102,48.85,9.01,9.8,2022-12-15
no,125.0,yes,1,3.22,1.0,121.9,104,72.88,10.93,12.0,2024-04-04
true,179.0,NO,0,0.0,0.0,233.7,132,60.31,12.18,11.0,2023-03-21
true,94.0,yes,1,2.81,,171.6,93,68.08,6.05,10.3,2024-11-03
True,86.0,yes,0,0.0,6.0,167.8,76,42.92,6.63,9.5,2025-01-01
0,41.0,yess,0,0.0,2.0,207.9,67,56.48,12.49,11.1,2025-11-12
si,162.0,Yes,0,0.0,2.0,328.1,68,74.69,8.79,10.7,2023-07-19
No,40.0,Yes,1,2.44,0.0,161.5,113,70.34,10.39,9.3,2025-11-19
No,76.0,yess,0,,1.0,143.7,93,42.69,10.4,10.8,2025-03-08
No,166.0,yes,0,0.0,3.0,216.3,87,48.71,6.56,9.4,2023-06-17
No,186.0,yess,0,0.0,1.0,89.0,130,30.29,8.57,5.4,2023-02-03
no,5.0,yes ,0,0.0,0.0,190.8,94,53.32,12.39,10.5,2026-07-24
yes,155.0,YES,0,0.0,2.0,295.9,141,69.99,11.23,12.9,2023-09-06
NO,164.0,yes,1,2.85,0.0,261.2,123,87.52,8.24,10.7,2023-07-07
No ,50.0,yess,0,0.0,1.0,160.5,73,32.81,3.16,10.2,2025-09-12
No,159.0,yes,0,0.0,3.0,147.2,114,38.83,8.2,7.2,2023-08-11
Yes,49.0,yes ,0,0.0,1.0,286.2,72,68.65,11.12,11.5,2025-09-18
False,79.0,Yes,0,0.0,1.0,137.0,102,41.89,8.12,8.4,2025-02-19
No,110.0,yess,0,0.0,2.0,186.4,121,41.98,5.15,10.8,2024-07-19
True,80.0,yes,0,0.0,3.0,267.1,91,65.08,11.28,8.9,2025-02-09
0,100.0,Yes,0,0.0,0.0,208.4,103,53.32,10.38,5.8,2024-09-27
No,135.0,Yes,0,0.0,1.0,108.5,119,39.84,11.45,11.7,2024-01-23
No ,20.0,yes,0,0.0,1.0,224.6,75,51.67,7.84,7.3,2026-04-08
No,111.0,YES,0,0.0,,7.1,99,15.49,6.82,12.1,2024-07-11
SI,172.0,YES,0,0.0,1.0,259.7,99,62.49,8.53,10.9,2023-05-10
No,26.0,yess,0,0.0,1.0,144.7,92,43.14,10.05,13.7,2026-02-21
false,37.0,Yes,1,2.33,2.0,139.0,71,77.07,16.66,8.8,2025-12-07
0,9.0,n0,0,0.0,1.0,256.8,86,66.34,11.09,13.0,2026-06-20
NO,168.0,YES,0,0.0,1.0,156.1,99,53.0,14.86,13.6,2023-06-05
No ,67.0,yes,0,0.0,2.0,168.9,93,44.44,8.75,16.0,2025-05-16
No,31.0,yes ,0,0.0,1.0,241.9,126,59.15,10.48,0.0,2026-01-20
NO,182.0,n0,0,0.0,1.0,148.6,117,,10.93,11.5,2023-02-25
false,20.0,yess,1,3.45,2.0,191.5,74,90.51,13.38,12.8,2026-04-07
NO,113.0,yes,0,0.0,1.0,159.4,103,49.43,12.05,11.0,2024-06-27
No,42.0,YES,0,0.0,1.0,131.2,80,44.84,10.48,10.3,2025-11-04
No,28.0,yess,0,0.0,0.0,214.9,77,57.01,12.55,13.9,2026-02-07
False,,yes,0,0.0,0.0,212.3,117,50.11,8.27,9.4,2024-12-11
NO,,YES,0,0.0,2.0,164.4,91,41.95,8.73,7.9,
No,13.0,YES,1,3.76,5.0,254.4,77,100.54,11.37,13.9,2026-05-26
no,94.0,yes ,1,2.1,1.0,122.8,104,64.21,12.39,7.8,2024-11-03
No,123.0,yess,1,3.62,1.0,133.8,62,74.87,9.18,13.6,2024-04-13
NO,6.0,Yes,0,0.0,0.0,260.3,104,60.09,8.96,3.3,2026-07-11
No ,109.0,yes,0,0.0,2.0,203.8,98,,11.65,15.0,2024-07-26
0,109.0,yes,0,0.0,2.0,164.4,113,48.92,11.76,12.0,2024-07-25
False,114.0,yes,0,0.0,,139.9,103,41.72,10.58,11.6,2024-06-15
NO,55.0,yes ,1,2.03,1.0,204.7,90,75.49,12.05,7.7,2025-08-04
No ,202.0,yes,0,0.0,1.0,90.2,129,29.61,8.41,5.3,10-11-2022
False,106.0,yes,1,2.16,0.0,138.4,94,52.84,3.94,8.3,2024-08-15
No,61.0,yes,0,,3.0,217.3,140,49.74,7.33,7.2,2025-06-22
0,79.0,YES,0,0.0,1.0,146.7,117,37.67,7.67,8.6,2025-02-18
0,60.0,Yes,0,0.0,1.0,172.4,81,45.15,9.22,10.3,2025-06-28
NO,,yes,1,1.86,2.0,204.9,119,70.55,10.47,7.1,2024-10-13
no,178.0,yes ,0,0.0,0.0,102.9,75,37.99,11.0,9.8,2023-03-29
yes,163.0,YES,0,0.0,2.0,96.3,91,31.59,7.26,11.0,2023-07-10
no,94.0,yes ,0,0.0,2.0,144.6,106,39.85,9.15,17.0,2024-11-04
NO,177.0,yes ,0,0.0,0.0,149.2,114,47.29,12.32,8.4,2023-04-02
no,32.0,yes,1,2.98,2.0,109.0,70,65.56,8.96,11.1,2026-01-14
False,110.0,yes,1,2.37,2.0,192.3,81,71.01,8.38,9.1,
No,92.0,yes,1,3.5,0.0,223.4,97,89.44,9.07,13.1,2024-11-16
False,37.0,yes ,0,0.0,3.0,137.0,91,44.77,11.0,13.2,2025-12-08
yes,97.0,no,0,0.0,4.0,186.8,114,49.47,10.08,13.9,2024-10-16
